study,participant,part_short,age,gender,goal,complexity,mouse,training,phase,trial,problem,smp_total,switch_total,switch_rate,choice,correct_ground,correct_sampled,long,short,problem_type,long_s,short_s
s1,0618_1_1,part1,21,m,long,low,last,no,test,1,18,10,9,1,o1,0,1,o2,o1,FALSE,o1,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,2,3,16,15,1,o2,1,1,o2,o2,TRUE,o2,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,3,35,19,17,0.944,o2,1,1,o2,o1,FALSE,o2,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,4,22,18,17,1,o1,1,1,o1,o2,FALSE,o1,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,5,21,37,35,0.972,o1,0,0,o2,o2,TRUE,o2,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,6,17,23,21,0.955,o2,0,1,o1,o2,FALSE,o2,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,7,33,32,17,0.548,o2,1,0,o2,o1,FALSE,o1,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,8,7,26,25,1,o1,1,1,o1,o1,TRUE,o1,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,9,12,17,15,0.938,o1,1,1,o1,o2,FALSE,o1,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,10,8,11,10,1,o1,1,1,o1,o1,TRUE,o1,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,11,6,14,13,1,o1,1,1,o1,o2,FALSE,o1,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,12,23,18,17,1,o2,1,1,o2,o2,TRUE,o2,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,13,1,29,28,1,o1,0,1,o2,o2,TRUE,o1,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,14,40,12,11,1,o2,1,1,o2,o1,FALSE,o2,NA
s1,0618_1_1,part1,21,m,long,low,last,no,test,15,30,17,16,1,o1,1,1,o1,o1,TRUE,o1,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,16,28,29,28,1,o1,1,1,o1,o1,TRUE,o1,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,17,32,37,36,1,o1,1,1,o1,o2,FALSE,o1,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,18,10,35,34,1,o1,1,1,o1,o1,TRUE,o1,NA
s1,0618_1_1,part1,21,m,long,low,last,no,test,19,38,16,15,1,o1,0,1,o2,o1,FALSE,o1,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,20,20,22,21,1,o1,0,1,o2,o1,FALSE,o1,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,21,15,26,25,1,o2,1,1,o2,o1,FALSE,o2,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,22,16,22,21,1,o2,1,1,o2,o2,TRUE,o2,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,23,34,31,30,1,o1,1,1,o1,o2,FALSE,o1,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,24,25,12,11,1,o2,1,1,o2,o2,TRUE,o2,NA
s1,0618_1_1,part1,21,m,long,low,last,no,test,25,26,9,8,1,o1,1,1,o1,o2,FALSE,o1,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,26,39,10,9,1,o1,1,1,o1,o1,TRUE,o1,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,27,2,9,8,1,o1,1,1,o1,o2,FALSE,o1,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,28,24,19,18,1,o1,1,1,o1,o1,TRUE,o1,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,29,13,24,23,1,o2,1,1,o2,o1,FALSE,o2,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,30,31,18,17,1,o1,0,1,o2,o1,FALSE,o1,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,31,14,9,8,1,o1,1,1,o1,o2,FALSE,o1,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,32,37,18,17,1,o1,1,1,o1,o2,FALSE,o1,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,33,11,22,21,1,o2,1,1,o2,o1,FALSE,o2,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,34,29,23,22,1,o2,1,1,o2,o2,TRUE,o2,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,35,36,16,15,1,o2,1,1,o2,o2,TRUE,o2,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,36,5,11,10,1,o2,1,1,o2,o2,TRUE,o2,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,37,19,7,6,1,o2,0,1,o1,o1,TRUE,o2,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,38,4,17,16,1,o2,0,1,o1,o1,TRUE,o2,o2
s1,0618_1_1,part1,21,m,long,low,last,no,test,39,27,20,19,1,o1,1,1,o1,o1,TRUE,o1,o1
s1,0618_1_1,part1,21,m,long,low,last,no,test,40,9,14,13,1,o2,1,1,o2,o2,TRUE,o2,o2
s1,0618_1_2,part2,21,enby,long,low,last,no,test,1,5,10,1,0.111,o1,0,1,o2,o2,TRUE,o1,o1
s1,0618_1_2,part2,21,enby,long,low,last,no,test,2,36,20,3,0.158,o2,1,1,o2,o2,TRUE,o2,o2
s1,0618_1_2,part2,21,enby,long,low,last,no,test,3,2,17,3,0.188,o2,0,0,o1,o2,FALSE,o1,o2
s1,0618_1_2,part2,21,enby,long,low,last,no,test,4,30,12,1,0.091,o1,1,1,o1,o1,TRUE,o1,o1
s1,0618_1_2,part2,21,enby,long,low,last,no,test,5,31,32,1,0.032,o1,0,0,o2,o1,FALSE,o2,o1
s1,0618_1_2,part2,21,enby,long,low,last,no,test,6,12,17,4,0.25,o1,1,1,o1,o2,FALSE,o1,o2
s1,0618_1_2,part2,21,enby,long,low,last,no,test,7,28,12,2,0.182,o1,1,1,o1,o1,TRUE,o1,o2
s1,0618_1_2,part2,21,enby,long,low,last,no,test,8,6,15,6,0.429,o1,1,1,o1,o2,FALSE,o1,o1
s1,0618_1_2,part2,21,enby,long,low,last,no,test,9,26,14,5,0.385,o1,1,1,o1,o2,FALSE,o1,o2
s1,0618_1_2,part2,21,enby,long,low,last,no,test,10,38,11,2,0.2,o2,1,1,o2,o1,FALSE,o2,NA
s1,0618_1_2,part2,21,enby,long,low,last,no,test,11,22,10,1,0.111,o1,1,1,o1,o2,FALSE,o1,o1
s1,0618_1_2,part2,21,enby,long,low,last,no,test,12,15,22,4,0.19,o2,1,1,o2,o1,FALSE,o2,o1
s1,0618_1_2,part2,21,enby,long,low,last,no,test,13,19,12,3,0.273,o1,1,1,o1,o1,TRUE,o1,o1
s1,0618_1_2,part2,21,enby,long,low,last,no,test,14,13,18,9,0.529,o2,1,1,o2,o1,FALSE,o2,o1
s1,0618_1_2,part2,21,enby,long,low,last,no,test,15,33,14,5,0.385,o1,0,1,o2,o1,FALSE,o1,o1
s1,0618_1_2,part2,21,enby,long,low,last,no,test,16,23,19,8,0.444,o2,1,1,o2,o2,TRUE,o2,o2
s1,0618_1_2,part2,21,enby,long,low,last,no,test,17,37,10,3,0.333,o1,1,1,o1,o2,FALSE,o1,o2
s1,0618_1_2,part2,21,enby,long,low,last,no,test,18,20,10,3,0.333,o2,1,1,o2,o1,FALSE,o2,o2
s1,0618_1_2,part2,21,enby,long,low,last,no,test,19,10,20,2,0.105,o1,1,1,o1,o1,TRUE,o1,o1
s1,0618_1_2,part2,21,enby,long,low,last,no,test,20,7,13,4,0.333,o1,1,1,o1,o1,TRUE,o1,o1
s1,0618_1_2,part2,21,enby,long,low,last,no,test,21,21,11,2,0.2,o2,1,1,o2,o2,TRUE,o2,o2
s1,0618_1_2,part2,21,enby,long,low,last,no,test,22,4,11,2,0.2,o1,1,1,o1,o1,TRUE,o1,o1
s1,0618_1_2,part2,21,enby,long,low,last,no,test,23,1,18,2,0.118,o2,1,1,o2,o2,TRUE,o2,o2
