study,problem,complexity,o1_p1,o1_1,o1_p2,o1_2,o1_p3,o1_3,o2_p1,o2_1,o2_p2,o2_2,o2_p3,o2_3,o1_ev,o2_ev,long,o1_rwp,o2_rwp,short
s1,18,low,0.34,9,0.6599999999999999,65,0,0,1,55,0,0,0,0,45.959999999999994,55,o2,0.6599999999999999,0.34,o1
s1,3,low,0.45,71,0.55,40,0,0,1,65,0,0,0,0,53.95,65,o2,0.45,0.55,o2
s1,35,low,1,73,0,0,0,0,0.36,121,0.64,69,0,0,73,87.72,o2,0.64,0.36,o1
s1,22,low,1,13,0,0,0,0,0.4300000000000001,5,0.57,15,0,0,13,10.7,o1,0.4300000000000001,0.57,o2
s1,21,low,0.27,106,0.73,5,0,0,1,39,0,0,0,0,32.27,39,o2,0.27,0.73,o2
s1,17,low,1,77,0,0,0,0,0.41,41,0.59,81,0,0,77,64.6,o1,0.41,0.59,o2
s1,33,low,1,25,0,0,0,0,0.3,59,0.7,18,0,0,25,30.299999999999997,o2,0.7,0.3,o1
s1,7,low,0.73,47,0.27,25,0,0,1,34,0,0,0,0,41.06,34,o1,0.73,0.27,o1
s1,12,low,0.63,24,0.37,56,0,0,1,30,0,0,0,0,35.84,30,o1,0.37,0.63,o2
s1,8,low,0.66,40,0.33999999999999997,16,0,0,1,26,0,0,0,0,31.840000000000003,26,o1,0.66,0.33999999999999997,o1
s1,6,low,1,51,0,0,0,0,0.37,24,0.63,54,0,0,51,42.900000000000006,o1,0.37,0.63,o2
s1,23,low,0.45,81,0.55,48,0,0,1,75,0,0,0,0,62.85000000000001,75,o2,0.45,0.55,o2
s1,1,low,0.3,91,0.7,4,0,0,1,36,0,0,0,0,30.1,36,o2,0.3,0.7,o2
s1,40,low,0.4300000000000001,13,0.57,68,0,0,1,53,0,0,0,0,44.35,53,o2,0.57,0.4300000000000001,o1
s1,30,low,0.59,76,0.41,47,0,0,1,54,0,0,0,0,64.11,54,o1,0.59,0.41,o1
s1,28,low,0.63,47,0.37,20,0,0,1,31,0,0,0,0,37.01,31,o1,0.63,0.37,o1
s1,32,low,0.6,28,0.4,66,0,0,1,36,0,0,0,0,43.2,36,o1,0.4,0.6,o2
s1,10,low,0.62,65,0.38,38,0,0,1,46,0,0,0,0,54.739999999999995,46,o1,0.62,0.38,o1
s1,38,low,0.31000000000000005,7,0.69,76,0,0,1,65,0,0,0,0,54.61,65,o2,0.69,0.31000000000000005,o1
s1,20,low,0.46,11,0.54,58,0,0,1,43,0,0,0,0,36.38,43,o2,0.54,0.46,o1
s1,15,low,1,62,0,0,0,0,0.39,103,0.61,57,0,0,62,74.94,o2,0.61,0.39,o1
s1,16,low,1,15,0,0,0,0,0.72,20,0.28,13,0,0,15,18.04,o2,0.28,0.72,o2
s1,34,low,0.76,35,0.24,102,0,0,1,43,0,0,0,0,51.08,43,o1,0.24,0.76,o2
s1,25,low,0.53,15,0.47,27,0,0,1,25,0,0,0,0,20.64,25,o2,0.47,0.53,o2
s1,26,low,1,60,0,0,0,0,0.33999999999999997,26,0.66,63,0,0,60,50.42,o1,0.33999999999999997,0.66,o2
s1,39,low,1,62,0,0,0,0,0.23,71,0.77,46,0,0,62,51.75,o1,0.77,0.23,o1
s1,2,low,1,11,0,0,0,0,0.4,5,0.6,12,0,0,11,9.2,o1,0.4,0.6,o2
s1,24,low,1,26,0,0,0,0,0.72,18,0.28,31,0,0,26,21.64,o1,0.72,0.28,o1
s1,13,low,1,19,0,0,0,0,0.23,49,0.77,15,0,0,19,22.82,o2,0.77,0.23,o1
s1,31,low,1,21,0,0,0,0,0.64,9,0.36,54,0,0,21,25.199999999999996,o2,0.64,0.36,o1
s1,14,low,0.79,30,0.20999999999999996,97,0,0,1,37,0,0,0,0,44.07,37,o1,0.20999999999999996,0.79,o2
s1,37,low,1,92,0,0,0,0,0.45,50,0.55,97,0,0,92,75.85,o1,0.45,0.55,o2
s1,11,low,1,18,0,0,0,0,0.71,11,0.29,48,0,0,18,21.729999999999997,o2,0.71,0.29,o1
s1,29,low,1,34,0,0,0,0,0.38,22,0.62,53,0,0,34,41.22,o2,0.38,0.62,o2
s1,36,low,1,17,0,0,0,0,0.69,23,0.31000000000000005,14,0,0,17,20.21,o2,0.31000000000000005,0.69,o2
s1,5,low,0.56,13,0.43999999999999995,23,0,0,1,21,0,0,0,0,17.4,21,o2,0.43999999999999995,0.56,o2
s1,19,low,1,53,0,0,0,0,0.26,61,0.74,39,0,0,53,44.72,o1,0.74,0.26,o1
s1,4,low,1,21,0,0,0,0,0.75,14,0.25,28,0,0,21,17.5,o1,0.75,0.25,o1
s1,27,low,0.7,55,0.30000000000000004,29,0,0,1,39,0,0,0,0,47.2,39,o1,0.7,0.30000000000000004,o1
s1,9,low,1,29,0,0,0,0,0.41,20,0.5900000000000001,45,0,0,29,34.75,o2,0.41,0.5900000000000001,o2
